Frame Rate:,23.9760239760
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
308,00:00:12.846,9.00763888888889,2.537280701754386,12.006052631578948,12.479583333333334
309,00:00:12.888,8.944875730994152,2.4380701754385963,12.13076754385965,12.26578947368421
310,00:00:12.930,9.257434210526315,2.750043859649123,12.383026315789474,12.63923245614035
311,00:00:12.971,9.470533625730994,2.8201973684210526,12.461184210526316,13.130219298245613
312,00:00:13.013,9.328998538011696,2.749671052631579,12.449627192982456,12.787697368421053
313,00:00:13.055,9.31799707602339,2.668859649122807,12.376688596491228,12.90844298245614
314,00:00:13.096,9.185599415204678,2.7143201754385964,12.161513157894737,12.680964912280702
315,00:00:13.138,9.093004385964912,2.670526315789474,12.008245614035088,12.600241228070175
316,00:00:13.180,8.841622807017544,2.734890350877193,11.57046052631579,12.219517543859649
317,00:00:13.222,8.858961988304094,2.9944298245614034,11.398399122807017,12.184057017543859
318,00:00:13.263,8.800657894736842,2.9305701754385964,11.391798245614035,12.079605263157895
319,00:00:13.305,8.53640350877193,2.8043859649122806,11.096228070175439,11.70859649122807
320,00:00:13.347,8.721849415204678,3.0901315789473682,11.06078947368421,12.014627192982456
321,00:00:13.388,8.332236842105262,2.835548245614035,10.743157894736843,11.418004385964911
322,00:00:13.430,8.543559941520469,2.9116885964912282,11.06671052631579,11.652280701754385
323,00:00:13.472,8.47501461988304,3.029780701754386,10.787587719298246,11.607675438596491
324,00:00:13.513,8.548523391812866,2.880175438596491,11.107434210526316,11.65796052631579
325,00:00:13.555,7.662448830409357,2.9217105263157896,9.648508771929825,10.417127192982456
326,00:00:13.597,7.308940058479533,2.7359429824561405,9.256162280701755,9.934714912280702
327,00:00:13.639,6.798450292397661,2.61375,8.355701754385965,9.425899122807017
328,00:00:13.680,6.250687134502923,2.1397587719298246,7.821578947368421,8.790723684210526
